date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:49:26	4127/4127	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2004%20Oct%202018%2016:14:59%20GMT	http://10.66.4.49:8000/gui/app-extension/assets/fonts/ss-nutanix-regular-webfont.eot?	C:/My%20Web%20Sites/NUtniax/10.66.4.49_8000/gui/app-extension/assets/fonts/ss-nutanix-regular-webfontd41d.eot	(from http://10.66.4.49:8000/gui/app-extension/assets/styles/includes/css/nutanix.min.css?uiv=1538669642983)
20:49:26	26939/26939	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2004%20Oct%202018%2016:14:59%20GMT	http://10.66.4.49:8000/gui/app-extension/assets/fonts/ProximaNovaSoft-Bold-webfont.eot?iefix	C:/My%20Web%20Sites/NUtniax/10.66.4.49_8000/gui/app-extension/assets/fonts/ProximaNovaSoft-Bold-webfont86d7.eot	(from http://10.66.4.49:8000/gui/app-extension/assets/styles/includes/css/nutanix.min.css?uiv=1538669642983)
20:49:26	23320/23320	---M--	200	added ('OK')	text/html	date:Thu,%2004%20Oct%202018%2016:14:59%20GMT	http://10.66.4.49:8000/gui/app-extension/assets/fonts/glyphicons-halflings-regular.woff	C:/My%20Web%20Sites/NUtniax/10.66.4.49_8000/gui/app-extension/assets/fonts/glyphicons-halflings-regular.html	(from http://10.66.4.49:8000/gui/app-extension/assets/styles/includes/css/nutanix.min.css?uiv=1538669642983)
20:49:27	41280/41280	---M--	200	added ('OK')	text/html	date:Thu,%2004%20Oct%202018%2016:14:59%20GMT	http://10.66.4.49:8000/gui/app-extension/assets/fonts/glyphicons-halflings-regular.ttf	C:/My%20Web%20Sites/NUtniax/10.66.4.49_8000/gui/app-extension/assets/fonts/glyphicons-halflings-regular-2.html	(from http://10.66.4.49:8000/gui/app-extension/assets/styles/includes/css/nutanix.min.css?uiv=1538669642983)
20:49:28	62926/62926	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2004%20Oct%202018%2016:14:59%20GMT	http://10.66.4.49:8000/gui/app-extension/assets/fonts/glyphicons-halflings-regular.svg	C:/My%20Web%20Sites/NUtniax/10.66.4.49_8000/gui/app-extension/assets/fonts/glyphicons-halflings-regular.svg	(from http://10.66.4.49:8000/gui/app-extension/assets/styles/includes/css/nutanix.min.css?uiv=1538669642983)
20:49:30	3059/3059	---M--	200	added ('OK')	image/gif	date:Thu,%2004%20Oct%202018%2016:14:59%20GMT	http://10.66.4.49:8000/gui/app-extension/assets/images/spinners/n-loading.gif	C:/My%20Web%20Sites/NUtniax/10.66.4.49_8000/gui/app-extension/assets/images/spinners/n-loading.gif	(from http://10.66.4.49:8000/gui/app-extension/assets/styles/includes/css/nutanix.min.css?uiv=1538669642983)
20:49:31	6913/6913	---M--	200	added ('OK')	image/gif	date:Thu,%2004%20Oct%202018%2016:14:59%20GMT	http://10.66.4.49:8000/gui/app-extension/assets/images/spinners/dots-loading.gif	C:/My%20Web%20Sites/NUtniax/10.66.4.49_8000/gui/app-extension/assets/images/spinners/dots-loading.gif	(from http://10.66.4.49:8000/gui/app-extension/assets/styles/includes/css/nutanix.min.css?uiv=1538669642983)
20:49:32	1079/1079	---M--	200	added ('OK')	image/gif	date:Thu,%2004%20Oct%202018%2016:14:59%20GMT	http://10.66.4.49:8000/gui/app-extension/assets/images/spinners/rectangular-loading.gif	C:/My%20Web%20Sites/NUtniax/10.66.4.49_8000/gui/app-extension/assets/images/spinners/rectangular-loading.gif	(from http://10.66.4.49:8000/gui/app-extension/assets/styles/includes/css/nutanix.min.css?uiv=1538669642983)
20:49:32	777/777	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2012%20Jan%202019%2001:04:44%20GMT	http://10.66.4.49:8000/gui/app-extension/assets/images/common/header-bg-breadcrumb.png	C:/My%20Web%20Sites/NUtniax/10.66.4.49_8000/gui/app-extension/assets/images/common/header-bg-breadcrumb.35.delayed	(from http://10.66.4.49:8000/gui/app-extension/assets/styles/includes/css/nutanix.min.css?uiv=1538669642983)
20:49:32	20335/20335	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2004%20Oct%202018%2016:14:59%20GMT	http://10.66.4.49:8000/gui/app-extension/assets/fonts/glyphicons-halflings-regular.eot	C:/My%20Web%20Sites/NUtniax/10.66.4.49_8000/gui/app-extension/assets/fonts/glyphicons-halflings-regular.eot	(from http://10.66.4.49:8000/gui/app-extension/assets/styles/includes/css/nutanix.min.css?uiv=1538669642983)
20:49:32	20335/20335	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2004%20Oct%202018%2016:14:59%20GMT	http://10.66.4.49:8000/gui/app-extension/assets/fonts/glyphicons-halflings-regular.eot?	C:/My%20Web%20Sites/NUtniax/10.66.4.49_8000/gui/app-extension/assets/fonts/glyphicons-halflings-regulard41d.eot	(from http://10.66.4.49:8000/gui/app-extension/assets/styles/includes/css/nutanix.min.css?uiv=1538669642983)
20:49:32	1188/1188	---M--	200	added ('OK')	image/png	date:Thu,%2004%20Oct%202018%2016:14:59%20GMT	http://10.66.4.49:8000/gui/app-extension/assets/images/common/header-logo-about.png	C:/My%20Web%20Sites/NUtniax/10.66.4.49_8000/gui/app-extension/assets/images/common/header-logo-about.png	(from http://10.66.4.49:8000/gui/app-extension/assets/styles/includes/css/nutanix.min.css?uiv=1538669642983)
20:51:35	3199615/3199615	UR-M--	200	added ('Partial%20Content')	text/javascript	date:Thu,%2004%20Oct%202018%2016:15:22%20GMT	http://10.66.4.49:8000/gui/app-extension/scripts/nutanix.min.js?uiv=1538669642983	C:/My%20Web%20Sites/NUtniax/10.66.4.49_8000/gui/app-extension/scripts/nutanix.minb439.js	(from http://10.66.4.49:8000/gui/index.html)
